Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Pascal Grob,GER,"MF,DF",31,37,37,"3,239",36,9,8,17,9,0,0,6,0,5.4,5.4,10.9,16.3,62,255,209
Lewis Dunk,ENG,DF,30,36,36,"3,239",36,1,0,1,1,0,0,4,0,1.7,1.7,1,2.7,19,158,5
Moises Caicedo,ECU,MF,20,37,34,"3,139",34.9,1,1,2,1,0,0,10,0,1.7,1.7,2.7,4.3,38,219,61
Alexis Mac Allister,ARG,MF,23,35,31,"2,886",32.1,10,2,12,4,6,6,8,0,12.1,7.3,4.3,11.6,69,174,77
Solly March,ENG,"FW,DF",28,33,31,"2,715",30.2,7,7,14,7,0,0,2,0,8.1,8.1,8.4,16.5,110,135,357
Pervis Estupinan,ECU,DF,24,35,31,"2,675",29.7,1,5,6,1,0,0,4,0,1.7,1.7,5.4,7.1,91,157,183
Joel Veltman,NED,DF,30,31,25,"2,188",24.3,1,1,2,1,0,0,6,0,1.8,1.8,0.7,2.5,43,153,49
Kaoru Mitoma,JPN,"FW,MF",25,33,24,"2,318",25.8,7,5,12,7,0,0,0,0,8.1,8.1,6.4,14.5,143,90,260
Robert Sanchez,JPN,GK,24,23,23,"2,070",23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Adam Webster,ENG,DF,27,27,23,"1,985",22.1,0,0,0,0,0,0,2,0,1.8,1.8,0.2,1.9,19,119,9
Danny Welbeck,ENG,FW,31,31,21,"1,854",20.6,6,3,9,6,0,0,0,0,9.4,9.4,4.3,13.7,31,49,134
Leandro Trossard,BEL,"FW,MF",27,16,16,"1,315",14.6,7,2,9,7,0,0,1,0,4.4,4.4,2.1,6.5,40,67,118
Jason Steele,ENG,GK,31,15,15,"1,350",15,0,1,1,0,0,0,1,0,0,0,0.1,0.1,0,0,0
Levi Colwill,ENG,DF,19,17,13,"1,220",13.6,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,16,70,3
Adam Lallana,ENG,"MF,FW",34,16,12,722,8,2,1,3,2,0,0,0,0,0.9,0.9,1,1.9,10,33,43
Evan Ferguson,IRL,FW,17,19,10,950,10.6,6,2,8,6,0,0,1,0,5.3,5.3,0.7,6.1,11,14,58
Julio Enciso,PAR,"FW,MF",18,20,7,806,9,4,2,6,4,0,0,1,0,4,4,1.7,5.7,39,31,74
Billy Gilmour,SCO,MF,21,14,7,507,5.6,0,1,1,0,0,0,1,0,0.5,0.5,0.2,0.8,5,35,4
Deniz Undav,GER,"FW,MF",26,22,6,628,7,5,0,5,5,0,0,2,0,4.5,4.5,1.1,5.6,12,10,40
Facundo Buonanotte,ARG,"FW,MF",17,13,6,565,6.3,1,1,2,1,0,0,2,0,1.4,1.4,0.5,1.9,9,13,42
Tariq Lamptey,GHA,DF,21,20,3,453,5,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,28,26,58
Jan Paul van Hecke,NED,DF,22,8,3,295,3.3,0,0,0,0,0,0,2,0,0.6,0.6,0,0.6,3,21,0
Enock Mwepu,ZAM,"FW,MF",24,6,2,213,2.4,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,5,6,17
Jeremy Sarmiento,ECU,MF,20,9,1,176,2,0,1,1,0,0,0,1,0,0.3,0.3,0.2,0.5,5,11,20
Yasin Ayari,SWE,MF,18,3,1,67,0.7,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,2,2
Odeluga Offiah,ENG,DF,19,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Andrew Moran,IRL,FW,18,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cameron Peupion,AUS,MF,19,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,2
Jack Hinshelwood,ENG,FW,17,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Steven Alzate,COL,MF,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Furlong,IRL,"DF,MF",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neal Maupay,FRA,"FW,MF",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Mcgill,ENG,GK,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imari Samuels,ENG,DF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Turns,WAL,DF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
